,profundidad,Edad_del_hielo,Edad_del_gas,delta.D,polvo,CO2,CH4,TEMP_?D,tazaTemp,tazaCO2,tazaCH4
107,1190,81.47,78.06,-455.84,24.88,220.39,504.24,-58.14,1.18831168831169,-0.746835443037987,3.7686703096539
108,1200,82.24,78.85,-461.33,31,220.98,524.93,-59.055,0.926406926406874,-0.737499999999994,4.81308411214951
109,1210,83.01,79.65,-465.61,33.08,221.57,545.53,-59.7683333333333,0.603896103896102,-0.737500000000007,6.38709677419365
110,1220,83.78,80.45,-468.4,35.17,222.16,563.35,-60.2333333333333,0.084415584415591,-2.93506493506494,45.6923076923025
111,1230,84.55,81.22,-468.79,44.33,224.42,581.17,-60.2983333333333,-0.564102564102569,-6.02702702702708,-1.98863636363633
112,1240,85.33,81.96,-466.15,61,228.88,586.42,-59.8583333333333,1.69047619047624,-5.93333333333336,-3.4686299615877
113,1250,86.1,82.71,-473.96,83,233.33,559.33,-61.16,1.23290598290603,6.19753086419753,-4.69324090121315
114,1260,86.88,83.52,-479.73,67.17,228.31,532.25,-62.1216666666667,-0.385281385281417,8.07228915662651,20.1910112359547
115,1270,87.65,84.35,-477.95,51.33,221.61,496.31,-61.825,-1.63888888888884,5.98765432098767,4.84224250325944
116,1280,88.43,85.16,-470.28,60.5,216.76,459.17,-60.5466666666667,1.09188034188027,4.43037974683541,-6.74951076320938
117,1290,89.21,85.95,-475.39,85.5,213.26,424.68,-61.3983333333333,-0.901709401709355,3.6835443037975,0.947867298578206
118,1300,89.99,86.74,-471.17,95,210.35,420.68,-60.695,-1.35021097046416,-6.2658227848101,0.415625000000002
119,1310,90.78,87.53,-464.77,67.08,215.3,418.02,-59.6283333333333,1.41666666666666,-6.27848101265827,1.92458521870287
120,1320,91.56,88.32,-471.4,39.17,220.26,430.78,-60.7333333333333,-0.329113924050634,-3.13749999999998,-8.1794871794872
121,1330,92.35,89.12,-469.84,36.42,222.77,443.54,-60.4733333333333,-0.681249999999992,-2.15189873417722,-2.96024464831806
122,1340,93.15,89.91,-466.57,27.25,224.47,453.22,-59.9283333333333,0.400843881856584,-2.30000000000001,-2.26842105263154
123,1350,93.94,90.71,-468.47,17,226.31,448.91,-60.245,0.74472573839658,-3.87499999999994,-1.22096317280454
124,1360,94.73,91.51,-472,24.52,229.41,444.6,-60.8333333333333,-0.329166666666626,-3.87500000000001,7.29113924050643
125,1370,95.53,92.31,-470.42,28.43,232.51,433.08,-60.57,-1.19375,-0.098765432098781,2.74694589877835
126,1380,96.33,93.12,-464.69,13.48,232.59,417.34,-59.615,0.237499999999998,3.34567901234568,-9.85087719298254
127,1390,97.13,93.93,-465.83,42.17,229.88,406.11,-59.805,-0.072916666666626,3.33333333333337,-1.11428571428578
128,1400,97.93,94.74,-465.48,56,227.18,406.5,-59.7466666666667,-0.475308641975313,-2.98765432098763,-0.164502164502162
129,1410,98.74,95.55,-463.17,54.75,229.6,406.88,-59.3616666666667,-0.716049382716045,-5.09876543209875,-4.69252873563215
130,1420,99.55,96.36,-459.69,53.5,233.73,423.21,-58.7816666666667,-0.491967871486028,-0.451219512195123,-9.44897959183679
131,1430,100.38,97.18,-457.24,55.46,234.1,446.36,-58.3733333333333,0.715686274509873,5.15853658536588,6.34520547945209
132,1440,101.23,98,-460.89,78.38,229.87,469.52,-58.9816666666667,1.41372549019601,5.10843373493978,1.36338418862691
133,1450,102.08,98.83,-468.1,72,225.63,479.35,-60.1833333333333,-0.308988764044942,-0.892857142857139,-18.3515151515148
134,1460,102.97,99.67,-466.45,73.91,226.38,509.63,-59.9083333333333,0.551851851851883,-1.91764705882354,-1.10402684563758
135,1470,103.87,100.52,-469.43,37.55,228.01,506.34,-60.405,-0.457875457875496,-2.95402298850576,1.77199999999998
136,1480,104.78,101.39,-466.93,27.87,230.58,501.91,-59.9883333333333,0.324372759856667,-4.53932584269662,12.6132596685083
137,1490,105.71,102.28,-468.74,40.04,234.62,524.74,-60.29,0.06560283687947,-4.29213483146066,61.7297297297291
138,1500,106.65,103.17,-469.11,39,238.44,547.58,-60.3516666666667,2.53535353535355,1.61290322580646,1.25962815405046
139,1510,107.64,104.1,-484.17,35.17,236.94,566.55,-62.8616666666667,-0.448979591836731,1.61290322580644,-5.71590909090901
140,1520,108.62,105.03,-481.53,36.48,235.44,581.64,-62.4216666666667,-0.323129251700723,-0.799999999999988,4.38421052631586
141,1530,109.6,105.98,-479.63,26.35,236.2,573.31,-62.105,-0.554982817869381,-4.68367346938781,34.0247678018574
142,1540,110.57,106.96,-476.4,27.22,240.79,463.41,-61.5666666666667,0.413194444444376,-2.1111111111111,-8.05882352941178
143,1550,111.53,107.95,-478.78,17,242.88,444.23,-61.9633333333333,0.364130434782609,3.64705882352942,4.23383084577104
144,1560,112.45,108.97,-480.79,10.26,239.16,452.74,-62.2983333333333,-0.208333333333267,3.69306930693066,-5.81739130434765
145,1570,113.37,109.98,-479.64,17.22,235.43,459.43,-62.1066666666667,-1.05555555555556,0.565656565656571,-1.17543859649123
146,1580,114.27,110.97,-473.94,22.71,234.87,466.13,-61.1566666666667,-1.06818181818181,-2.96874999999997,0.466312056737589
147,1590,115.15,111.93,-468.3,23.89,237.72,463.5,-60.2166666666667,-0.044061302682067,-5.06315789473691,27.1739130434761
148,1600,116.02,112.88,-468.07,32,242.53,457.25,-60.1783333333333,-1.54819277108434,-13.8791208791207,0.810635538262
